bay_id,st_marker_id,status,location,lat,lon
217,20621,Unoccupied,"-37.819683560346135, 144.94588656234413",-37.819683560346135,144.94588656234413
218,20622,Unoccupied,"-37.81973874183244, 144.94590104936407",-37.81973874183244,144.94590104936407
219,20623,Unoccupied,"-37.81979391798724, 144.9459155689148",-37.81979391798724,144.9459155689148
220,20624,Unoccupied,"-37.819846900793536, 144.94593004983852",-37.819846900793536,144.94593004983852
221,20921,Unoccupied,"-37.820192531089255, 144.9460195072302",-37.820192531089255,144.9460195072302
222,20924,Present,"-37.82037560800656, 144.94606722180765",-37.82037560800656,144.94606722180765
223,20925,Present,"-37.820436456303554, 144.94608327478076",-37.820436456303554,144.94608327478076
224,15327,Unoccupied,"-37.81865162919739, 144.9481972118744",-37.81865162919739,144.9481972118744
225,15337,Present,"-37.81879931698572, 144.9476865604022",-37.81879931698572,144.9476865604022
226,13022,Present,"-37.81958343523664, 144.9449476526288",-37.81958343523664,144.9449476526288
227,13451,Unoccupied,"-37.81953316925797, 144.94480694114407",-37.81953316925797,144.9448069411441
228,13471,Unoccupied,"-37.819251749945806, 144.9457804932697",-37.819251749945806,144.9457804932697
229,13448,Unoccupied,"-37.81956062036461, 144.94471216116392",-37.81956062036461,144.94471216116392
230,13457,Unoccupied,"-37.81947137228608, 144.9450204542219",-37.81947137228608,144.9450204542219
231,13476,Unoccupied,"-37.819206095023155, 144.94593883893734",-37.81920609502316,144.94593883893734
232,13453,Present,"-37.819514841408456, 144.94487049899558",-37.819514841408456,144.94487049899558
233,13452,Unoccupied,"-37.81952401700922, 144.94483855257994",-37.81952401700922,144.94483855257994
234,13475,Unoccupied,"-37.81921480828922, 144.94590854952634",-37.81921480828922,144.94590854952634
235,13455,Present,"-37.81948965771865, 144.94495729325638",-37.81948965771865,144.94495729325638
236,13472,Unoccupied,"-37.819242434695525, 144.945812487306",-37.819242434695525,144.945812487306
237,20871,Present,"-37.81984299452631, 144.9452791925704",-37.81984299452631,144.9452791925704
238,23331,Present,"-37.814305319808945, 144.9472123799277",-37.81430531980895,144.9472123799277
239,23332,Present,"-37.814287983583945, 144.94727693687133",-37.814287983583945,144.94727693687133
240,23816,Unoccupied,"-37.80214068253946, 144.95626281589603",-37.80214068253946,144.95626281589605
241,23819,Present,"-37.802277422808345, 144.95608777064373",-37.802277422808345,144.95608777064373
242,23823,Present,"-37.802350633838245, 144.9559940501831",-37.802350633838245,144.9559940501831
243,23852,Unoccupied,"-37.81582977501615, 144.94543009929595",-37.81582977501615,144.94543009929595
244,23853,Present,"-37.815887456199704, 144.94545557356133",-37.8158874561997,144.94545557356133
245,13420,Present,"-37.81966860800787, 144.94433630368982",-37.81966860800787,144.94433630368982
246,13423,Present,"-37.81964330498742, 144.94442320689754",-37.81964330498742,144.94442320689754
247,13444,Unoccupied,"-37.81960069139679, 144.94425436080738",-37.81960069139679,144.94425436080738
248,9583,Present,"-37.804039588958545, 144.94954771319453",-37.80403958895855,144.94954771319453
249,9590,Unoccupied,"-37.80361944581699, 144.94962177181733",-37.80361944581699,144.94962177181733
250,9621,Unoccupied,"-37.8049650600306, 144.94867535790314",-37.8049650600306,144.94867535790314
251,9622,Unoccupied,"-37.80496192087651, 144.9486472467637",-37.80496192087651,144.9486472467637
252,9646,Unoccupied,"-37.80506542448819, 144.94863852706405",-37.80506542448819,144.94863852706405
253,10925,Unoccupied,"-37.80537070979699, 144.95013236035342",-37.80537070979699,144.95013236035342
254,12029,Present,"-37.798324922621674, 144.95304940651633",-37.79832492262168,144.95304940651633
255,14857,Unoccupied,"-37.80098031030775, 144.9563818423412",-37.80098031030775,144.9563818423412
256,18575,Present,"-37.81931307228372, 144.94863663677813",-37.81931307228372,144.94863663677813
257,13465,Unoccupied,"-37.81931342096684, 144.94556643243476",-37.81931342096684,144.94556643243476
258,13470,Unoccupied,"-37.81926702213619, 144.94572747902293",-37.81926702213619,144.9457274790229
259,23815,Unoccupied,"-37.80212234886051, 144.9562863072706",-37.80212234886051,144.9562863072706
260,12376,Present,"-37.80282950986645, 144.95580821881964",-37.80282950986645,144.95580821881964
261,23856,Present,"-37.81643992499424, 144.94569868760732",-37.81643992499424,144.94569868760732
262,24001,Present,"-37.819980456238255, 144.94866192170207",-37.819980456238255,144.94866192170207
263,13410,Unoccupied,"-37.81975075788152, 144.94405339545295",-37.81975075788152,144.94405339545295
264,24275,Unoccupied,"-37.81314484262667, 144.94230562480953",-37.81314484262667,144.9423056248095
265,24277,Unoccupied,"-37.81319186749354, 144.94218304249296",-37.81319186749354,144.94218304249296
266,20930,Unoccupied,"-37.82100872746625, 144.9462344339982",-37.82100872746625,144.9462344339982
267,20931,Unoccupied,"-37.82106330164733, 144.94624932848853",-37.82106330164733,144.94624932848853
268,20928,Unoccupied,"-37.82090289598893, 144.9462065615067",-37.82090289598893,144.9462065615067
269,9575,Present,"-37.80457831492221, 144.9494536042484",-37.80457831492221,144.9494536042484
270,9576,Present,"-37.80450871995744, 144.94946578429776",-37.80450871995744,144.94946578429776
271,9581,Unoccupied,"-37.804145819722294, 144.94952899017608",-37.80414581972229,144.94952899017608
272,9599,Present,"-37.80464076945911, 144.9492535175426",-37.80464076945911,144.9492535175426
273,9605,Unoccupied,"-37.803542045983534, 144.94944536383048",-37.803542045983534,144.94944536383048
274,9617,Present,"-37.80497447701249, 144.948759690608",-37.80497447701249,144.948759690608
275,9619,Present,"-37.804971351349906, 144.9487315807204",-37.80497135134991,144.9487315807204
276,9623,Present,"-37.804958781715776, 144.94861913562693",-37.804958781715776,144.94861913562693
277,9628,Present,"-37.804941499223204, 144.94846510573086",-37.8049414992232,144.94846510573086
278,9633,Unoccupied,"-37.80507794337506, 144.9487506998031",-37.80507794337506,144.9487506998031
279,9634,Unoccupied,"-37.805074798372985, 144.9487225853801",-37.805074798372985,144.9487225853801
